id	filename	md5	size	state
01aac488-6e2f-423b-8743-77967544a544	TCGA-50-5066-01A-01-BS1.c6f25661-a8e9-4d89-9d16-0cfd1f4defe2.svs	c9c59fc804e44b2c3176bc5203d5717e	120204731	live
01ac79b0-4e9b-4100-8493-f65a970ed2f1	TCGA-44-2661-01A-01-BS1.454ae128-140c-4bc3-98d6-529a9e0808f4.svs	f2c273146b7bd574542f218e8d0b54c9	219288587	live
01b23290-34fe-4356-93d1-080781160297	TCGA-18-3419-01A-01-TS1.2fbc3ed1-8e87-4012-a0cb-5dfb6af272b3.svs	4c830cfb2a66ba624aaa2d70400e4202	69269703	live
01ec26c6-bef5-4c29-a66c-32103f5d2e47	TCGA-85-A4QQ-01A-04-TSD.89A63FFC-A081-47AD-93EC-AE418182A33D.svs	83832e20138a5596296f188145d3a181	143263095	live
0214eaf5-e59c-46ec-bcce-c77fd72a92cb	TCGA-55-8512-11A-01-TS1.2b5d1fd4-154b-41f9-ae81-fc54b7fb567c.svs	2e93b4858fbc1cb49e0e07d175089247	93874711	live
022ab71f-25bc-4169-b548-15bb9326e7ea	TCGA-21-5786-01A-01-BS1.33f0c810-b58e-4cc4-b1ed-bc3722010c48.svs	13dbc0f0719deef0cdfd46f5d2a58a21	131934847	live
022d0ee7-409d-4c59-a7f3-483b7490feff	TCGA-78-7537-01A-01-BS1.361681cd-c994-4e34-b71f-67b660563dd2.svs	490693b80bb05bbeb2e1536d2e2e7a31	69230883	live
0234a280-32ca-42d4-989e-fe5aed3d3e5c	TCGA-56-7822-11A-01-TS1.3d860365-36fd-46d5-a47d-e2f823c30653.svs	419481a26a1d4526d3008cb1656b9767	292149595	live
02360aed-a23c-46a9-9880-a28ca8fdae5e	TCGA-18-3408-01A-01-BS1.6da3d3b3-e891-4922-9135-70fc9cf8959f.svs	b321b593d59e7d2629913e95a49f1bd6	29949273	live
026a29c0-a61a-41c5-ae3d-15d61eb77205	TCGA-75-5122-01A-01-TS1.e56f9541-d388-48bc-b75b-ff12f23824d5.svs	3ba337a53e6f9e705d2863722f7218d6	54501797	live
